T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
46.55,6528.00,-62.00,6657.90,-64.95,0,0,0,0,0,0
47.05,6498.00,-60.00,6625.92,-63.96,0,0,0,0,0,0
47.55,6466.00,-64.00,6593.93,-63.97,0,0,0,0,0,0
48.05,6434.00,-64.00,6561.95,-63.97,0,0,0,0,0,0
48.55,6407.00,-54.00,6530.96,-61.98,0,0,0,0,0,0
49.05,6369.00,-76.00,6498.57,-64.78,0,0,0,0,0,0
49.55,6358.00,-22.00,6470.45,-56.23,0,0,0,0,0,0
50.05,6324.00,-68.00,6441.16,-58.58,0,0,0,0,0,0
50.55,6278.00,-92.00,6408.53,-65.26,0,0,0,0,0,0
51.05,6249.00,-58.00,6376.62,-63.81,0,0,0,0,0,0
51.55,6220.00,-58.00,6345.30,-62.65,0,0,0,0,0,0
52.05,6195.00,-50.00,6315.24,-60.12,0,0,0,0,0,0
52.55,6172.00,-46.00,6286.59,-57.30,0,0,0,0,0,0
53.05,6143.00,-58.00,6257.87,-57.44,0,0,0,0,0,0
53.55,6106.00,-74.00,6227.50,-60.75,0,0,0,0,0,0
54.05,6091.00,-30.00,6200.20,-54.60,0,0,0,0,0,0
54.55,6055.00,-72.00,6171.16,-58.08,0,0,0,0,0,0
55.05,6025.00,-60.00,6141.93,-58.46,0,0,0,0,0,0
55.55,5996.00,-58.00,6112.74,-58.37,0,0,0,0,0,0
56.05,5965.00,-62.00,6083.19,-59.10,0,0,0,0,0,0
56.55,5929.00,-72.00,6052.35,-61.68,0,0,0,0,0,0
57.05,5901.00,-56.00,6022.08,-60.54,0,0,0,0,0,0
57.55,5867.00,-68.00,5991.07,-62.03,0,0,0,0,0,0
58.05,5832.00,-70.00,5959.25,-63.63,0,0,0,0,0,0
58.55,5806.00,-52.00,5928.60,-61.30,0,0,0,0,0,0
59.05,5770.00,-72.00,5896.88,-63.44,0,0,0,0,0,0
59.55,5741.00,-58.00,5865.71,-62.35,0,0,0,0,0,0
60.05,5709.00,-64.00,5834.36,-62.68,0,0,0,0,0,0
60.55,5677.00,-64.00,5802.89,-62.95,0,0,0,0,0,0
61.05,5647.00,-60.00,5771.71,-62.36,0,0,0,0,0,0
61.55,5614.00,-66.00,5740.17,-63.08,0,0,0,0,0,0
62.05,5587.00,-54.00,5709.54,-61.27,0,0,0,0,0,0
62.55,5550.00,-74.00,5677.63,-63.81,0,0,0,0,0,0
63.05,5520.00,-60.00,5646.10,-63.05,0,0,0,0,0,0
63.55,5490.00,-60.00,5614.88,-62.44,0,0,0,0,0,0
64.05,5457.00,-66.00,5583.31,-63.15,0,0,0,0,0,0
64.55,5434.00,-46.00,5553.44,-59.72,0,0,0,0,0,0
65.05,5399.00,-70.00,5522.56,-61.78,0,0,0,0,0,0
65.55,5373.00,-52.00,5492.64,-59.82,0,0,0,0,0,0
66.05,5336.00,-74.00,5461.32,-62.66,0,0,0,0,0,0
66.55,5314.00,-44.00,5431.85,-58.93,0,0,0,0,0,0
67.05,5279.00,-70.00,5401.28,-61.14,0,0,0,0,0,0
67.55,5252.00,-54.00,5371.43,-59.71,0,0,0,0,0,0
68.05,5226.00,-52.00,5342.34,-58.17,0,0,0,0,0,0
68.55,5197.00,-58.00,5313.27,-58.14,0,0,0,0,0,0
69.05,5168.00,-58.00,5284.22,-58.11,0,0,0,0,0,0
69.55,5138.00,-60.00,5254.97,-58.49,0,0,0,0,0,0
70.05,5103.00,-70.00,5224.58,-60.79,0,0,0,0,0,0
70.55,5076.00,-54.00,5194.86,-59.43,0,0,0,0,0,0
71.05,5045.00,-62.00,5164.89,-59.95,0,0,0,0,0,0
71.55,5012.00,-66.00,5134.31,-61.16,0,0,0,0,0,0
72.05,4983.00,-58.00,5104.05,-60.53,0,0,0,0,0,0
72.55,4945.00,-76.00,5072.24,-63.62,0,0,0,0,0,0
73.05,4922.00,-46.00,5042.19,-60.10,0,0,0,0,0,0
73.55,4892.00,-60.00,5012.15,-60.08,0,0,0,0,0,0
74.05,4855.00,-74.00,4980.72,-62.86,0,0,0,0,0,0
74.55,4829.00,-52.00,4950.38,-60.69,0,0,0,0,0,0
75.05,4789.00,-80.00,4918.10,-64.55,0,0,0,0,0,0
75.55,4766.00,-46.00,4887.68,-60.84,0,0,0,0,0,0
76.05,4728.00,-76.00,4855.75,-63.87,0,0,0,0,0,0
76.55,4701.00,-54.00,4824.80,-61.90,0,0,0,0,0,0
77.05,4669.00,-64.00,4793.64,-62.32,0,0,0,0,0,0
77.55,4648.00,-42.00,4764.51,-58.25,0,0,0,0,0,0
78.05,4609.00,-78.00,4733.41,-62.20,0,0,0,0,0,0
78.55,4588.00,-42.00,4704.33,-58.16,0,0,0,0,0,0
79.05,4548.00,-80.00,4673.06,-62.53,0,0,0,0,0,0
79.55,4528.00,-40.00,4644.05,-58.02,0,0,0,0,0,0
80.05,4493.00,-70.00,4613.84,-60.42,0,0,0,0,0,0
80.55,4463.00,-60.00,4583.67,-60.34,0,0,0,0,0,0
81.05,4431.00,-64.00,4553.14,-61.07,0,0,0,0,0,0
81.55,4399.00,-64.00,4522.31,-61.65,0,0,0,0,0,0
82.05,4366.00,-66.00,4491.05,-62.52,0,0,0,0,0,0
82.55,4335.00,-62.00,4459.84,-62.42,0,0,0,0,0,0
83.05,4308.00,-54.00,4429.47,-60.74,0,0,0,0,0,0
83.55,4281.00,-54.00,4399.78,-59.39,0,0,0,0,0,0
84.05,4248.00,-66.00,4369.42,-60.71,0,0,0,0,0,0
84.55,4216.00,-64.00,4338.74,-61.37,0,0,0,0,0,0
85.05,4192.00,-48.00,4309.39,-58.69,0,0,0,0,0,0
85.55,4164.00,-56.00,4280.31,-58.16,0,0,0,0,0,0
86.05,4124.00,-80.00,4249.05,-62.52,0,0,0,0,0,0
86.55,4091.00,-66.00,4217.44,-63.22,0,0,0,0,0,0
87.05,4058.00,-66.00,4185.55,-63.78,0,0,0,0,0,0
87.55,4028.00,-60.00,4154.04,-63.02,0,0,0,0,0,0
88.05,4003.00,-50.00,4123.83,-60.42,0,0,0,0,0,0
88.55,3963.00,-80.00,4091.67,-64.33,0,0,0,0,0,0
89.05,3936.00,-54.00,4060.53,-62.27,0,0,0,0,0,0
89.55,3906.00,-60.00,4029.63,-61.81,0,0,0,0,0,0
90.05,3875.00,-62.00,3998.70,-61.85,0,0,0,0,0,0
90.55,3843.00,-64.00,3967.56,-62.28,0,0,0,0,0,0
91.05,3807.00,-72.00,3935.45,-64.22,0,0,0,0,0,0
91.55,3791.00,-32.00,3906.56,-57.78,0,0,0,0,0,0
92.05,3754.00,-74.00,3876.05,-61.02,0,0,0,0,0,0
92.55,3704.00,-100.00,3841.64,-68.82,0,0,0,0,0,0
93.05,3679.00,-50.00,3809.11,-65.06,0,0,0,0,0,0
93.55,3639.00,-80.00,3775.09,-68.04,0,0,0,0,0,0
94.05,3609.00,-60.00,3741.87,-66.44,0,0,0,0,0,0
94.55,3569.00,-80.00,3707.30,-69.15,0,0,0,0,0,0
95.05,3543.00,-52.00,3674.44,-65.72,0,0,0,0,0,0
95.55,3509.00,-68.00,3641.35,-66.17,0,0,0,0,0,0
96.05,3479.00,-60.00,3608.88,-64.94,0,0,0,0,0,0
96.55,3446.00,-66.00,3576.30,-65.15,0,0,0,0,0,0
97.05,3420.00,-52.00,3545.04,-62.52,0,0,0,0,0,0
97.55,3385.00,-70.00,3513.03,-64.02,0,0,0,0,0,0
98.05,3355.00,-60.00,3481.43,-63.21,0,0,0,0,0,0
98.55,3328.00,-54.00,3450.74,-61.37,0,0,0,0,0,0
99.05,3293.00,-70.00,3419.19,-63.10,0,0,0,0,0,0
99.55,3262.00,-62.00,3387.75,-62.88,0,0,0,0,0,0
100.05,3234.00,-56.00,3357.00,-61.50,0,0,0,0,0,0
100.55,3198.00,-72.00,3325.20,-63.60,0,0,0,0,0,0
101.05,3175.00,-46.00,3295.16,-60.08,0,0,0,0,0,0
101.55,3141.00,-68.00,3264.33,-61.67,0,0,0,0,0,0
102.05,3106.00,-70.00,3232.66,-63.33,0,0,0,0,0,0
102.55,3077.00,-58.00,3201.53,-62.27,0,0,0,0,0,0
103.05,3044.00,-66.00,3170.02,-63.01,0,0,0,0,0,0
103.55,3011.00,-66.00,3138.22,-63.61,0,0,0,0,0,0
104.05,2988.00,-46.00,3108.18,-60.09,0,0,0,0,0,0
104.55,2952.00,-72.00,3076.94,-62.47,0,0,0,0,0,0
105.05,2922.00,-60.00,3045.95,-61.98,0,0,0,0,0,0
105.55,2889.00,-66.00,3014.56,-62.78,0,0,0,0,0,0
106.05,2876.00,-26.00,2986.85,-55.42,0,0,0,0,0,0
106.55,2829.00,-94.00,2955.28,-63.14,0,0,0,0,0,0
107.05,2803.00,-52.00,2924.82,-60.91,0,0,0,0,0,0
107.55,2766.00,-74.00,2893.06,-63.53,0,0,0,0,0,0
108.05,2748.00,-36.00,2864.05,-58.02,0,0,0,0,0,0
108.55,2710.00,-76.00,2833.24,-61.62,0,0,0,0,0,0
109.05,2682.00,-56.00,2802.99,-60.50,0,0,0,0,0,0
109.55,2649.00,-66.00,2772.19,-61.60,0,0,0,0,0,0
110.05,2629.00,-40.00,2743.55,-57.28,0,0,0,0,0,0
110.55,2583.00,-92.00,2711.44,-64.22,0,0,0,0,0,0
111.05,2554.00,-58.00,2679.95,-62.98,0,0,0,0,0,0
111.55,2523.00,-62.00,2648.56,-62.78,0,0,0,0,0,0
112.05,2492.00,-62.00,2617.25,-62.63,0,0,0,0,0,0
112.55,2462.00,-60.00,2586.20,-62.10,0,0,0,0,0,0
113.05,2433.00,-58.00,2555.56,-61.28,0,0,0,0,0,0
113.55,2406.00,-54.00,2525.65,-59.82,0,0,0,0,0,0
114.05,2384.00,-44.00,2497.32,-56.66,0,0,0,0,0,0
114.55,2338.00,-92.00,2465.46,-63.73,0,0,0,0,0,0
115.05,2323.00,-30.00,2436.96,-56.98,0,0,0,0,0,0
115.55,2271.00,-104.00,2403.77,-66.39,0,0,0,0,0,0
116.05,2254.00,-34.00,2373.82,-59.91,0,0,0,0,0,0
116.55,2205.00,-98.00,2340.05,-67.53,0,0,0,0,0,0
117.05,2174.00,-62.00,2306.84,-66.42,0,0,0,0,0,0
117.55,2142.00,-64.00,2273.87,-65.94,0,0,0,0,0,0
118.05,2110.00,-64.00,2241.10,-65.55,0,0,0,0,0,0
118.55,2088.00,-44.00,2210.48,-61.24,0,0,0,0,0,0
119.05,2041.00,-94.00,2176.58,-67.79,0,0,0,0,0,0
119.55,2010.00,-62.00,2143.27,-66.63,0,0,0,0,0,0
120.05,1992.00,-36.00,2113.01,-60.51,0,0,0,0,0,0
120.55,1941.00,-102.00,2078.61,-68.81,0,0,0,0,0,0
121.05,1915.00,-52.00,2045.89,-65.44,0,0,0,0,0,0
121.55,1889.00,-52.00,2014.51,-62.76,0,0,0,0,0,0
122.05,1847.00,-84.00,1981.01,-67.00,0,0,0,0,0,0
122.55,1819.00,-56.00,1948.61,-64.80,0,0,0,0,0,0
123.05,1791.00,-56.00,1917.09,-63.04,0,0,0,0,0,0
123.55,1759.00,-64.00,1885.47,-63.23,0,0,0,0,0,0
124.05,1729.00,-60.00,1854.17,-62.59,0,0,0,0,0,0
124.55,1699.00,-60.00,1823.14,-62.07,0,0,0,0,0,0
125.05,1672.00,-54.00,1792.91,-60.46,0,0,0,0,0,0
125.55,1638.00,-68.00,1761.93,-61.96,0,0,0,0,0,0
126.05,1612.00,-52.00,1731.94,-59.97,0,0,0,0,0,0
126.55,1579.00,-66.00,1701.35,-61.18,0,0,0,0,0,0
127.05,1551.00,-56.00,1671.28,-60.14,0,0,0,0,0,0
127.55,1520.00,-62.00,1641.03,-60.51,0,0,0,0,0,0
128.05,1504.00,-32.00,1613.62,-54.81,0,0,0,0,0,0
128.55,1466.00,-76.00,1584.10,-59.05,0,0,0,0,0,0
129.05,1432.00,-68.00,1553.68,-60.84,0,0,0,0,0,0
129.55,1408.00,-48.00,1524.54,-58.27,0,0,0,0,0,0
130.05,1376.00,-64.00,1494.83,-59.42,0,0,0,0,0,0
130.55,1344.00,-64.00,1464.67,-60.33,0,0,0,0,0,0
131.05,1328.00,-32.00,1437.33,-54.67,0,0,0,0,0,0
131.55,1285.00,-86.00,1406.87,-60.93,0,0,0,0,0,0
132.05,1261.00,-48.00,1377.69,-58.35,0,0,0,0,0,0
132.55,1231.00,-60.00,1348.35,-58.68,0,0,0,0,0,0
133.05,1210.00,-42.00,1320.68,-55.34,0,0,0,0,0,0
133.55,1182.00,-56.00,1292.95,-55.47,0,0,0,0,0,0
134.05,1141.00,-82.00,1262.56,-60.78,0,0,0,0,0,0
134.55,1112.00,-58.00,1232.45,-60.22,0,0,0,0,0,0
135.05,1086.00,-52.00,1203.16,-58.58,0,0,0,0,0,0
135.55,1048.00,-76.00,1172.13,-62.06,0,0,0,0,0,0
136.05,1028.00,-40.00,1143.30,-57.65,0,0,0,0,0,0
136.55,991.00,-74.00,1112.84,-60.92,0,0,0,0,0,991
137.05,963.00,-56.00,1082.87,-59.94,0,0,0,0,0,0
137.55,940.00,-46.00,1054.30,-57.15,0,0,0,0,0,0
138.05,915.00,-50.00,1026.44,-55.72,0,0,0,0,0,0
138.55,896.00,-38.00,1000.35,-52.18,0,0,0,0,0,0
139.05,879.00,-34.00,976.08,-48.54,0,0,0,0,0,0
139.55,862.00,-34.00,953.26,-45.63,0,0,0,0,0,0
140.05,829.00,-66.00,928.41,-49.71,0,0,0,0,0,0
140.55,827.00,-4.00,908.13,-40.56,0,0,0,0,0,0
141.05,800.00,-54.00,886.50,-43.25,0,0,0,0,0,0
141.55,789.00,-22.00,867.00,-39.00,0,0,0,0,0,0
142.05,772.00,-34.00,848.00,-38.00,0,0,0,0,0,0
142.55,760.00,-24.00,830.40,-35.20,0,0,0,0,0,0
143.05,746.00,-28.00,813.52,-33.76,0,0,0,0,0,0
143.55,730.00,-32.00,796.82,-33.41,0,0,0,0,0,0
144.05,713.00,-34.00,780.05,-33.53,0,0,0,0,0,0
144.55,697.00,-32.00,763.44,-33.22,0,0,0,0,0,0
145.05,679.00,-36.00,746.55,-33.78,0,0,0,0,0,0
145.55,667.00,-24.00,730.64,-31.82,0,0,0,0,0,0
146.05,649.00,-36.00,714.31,-32.66,0,0,0,0,0,0
146.55,635.00,-28.00,698.45,-31.73,0,0,0,0,0,0
147.05,622.00,-26.00,683.16,-30.58,0,0,0,0,0,0
147.55,609.00,-26.00,668.33,-29.66,0,0,0,0,0,0
148.05,592.00,-34.00,653.06,-30.53,0,0,0,0,0,0
148.55,580.00,-24.00,638.45,-29.23,0,0,0,0,0,0
149.05,564.00,-32.00,623.56,-29.78,0,0,0,0,0,0
149.55,550.00,-28.00,608.85,-29.42,0,0,0,0,0,0
150.05,543.00,-14.00,595.68,-26.34,0,0,0,0,0,0
150.55,520.00,-46.00,580.54,-30.27,0,0,0,0,0,0
151.05,506.00,-28.00,565.63,-29.82,0,0,0,0,0,0
151.55,493.00,-26.00,551.11,-29.05,0,0,0,0,0,0
152.05,477.00,-32.00,536.29,-29.64,0,0,0,0,0,0
152.55,460.00,-34.00,521.03,-30.51,0,0,0,0,0,0
153.05,444.00,-32.00,505.62,-30.81,0,0,0,0,0,0
153.55,429.00,-30.00,490.30,-30.65,0,0,0,0,0,0
154.05,410.00,-38.00,474.24,-32.12,0,0,0,0,0,0
154.55,395.00,-30.00,458.39,-31.70,0,0,0,0,0,0
155.05,381.00,-28.00,442.91,-30.96,0,0,0,0,0,0
155.55,359.00,-44.00,426.13,-33.57,0,0,0,0,0,0
156.05,340.00,-38.00,408.90,-34.45,0,0,0,0,0,0
156.55,322.00,-36.00,391.52,-34.76,0,0,0,0,0,0
157.05,304.00,-36.00,374.02,-35.01,0,0,0,0,0,0
157.55,291.00,-26.00,357.41,-33.21,0,0,0,0,0,0
158.05,283.00,-16.00,342.53,-29.77,0,0,0,0,0,0
158.55,267.00,-32.00,327.43,-30.21,0,0,0,0,0,0
159.05,254.00,-26.00,312.74,-29.37,0,0,0,0,0,0
159.55,245.00,-18.00,299.19,-27.10,0,0,0,0,0,0
160.05,230.00,-30.00,285.35,-27.68,0,0,0,0,0,0
160.55,218.00,-24.00,271.88,-26.94,0,0,0,0,0,0
161.05,208.00,-20.00,259.11,-25.55,0,0,0,0,0,0
161.55,200.00,-16.00,247.29,-23.64,0,0,0,0,0,0
162.05,189.00,-22.00,235.63,-23.31,0,0,0,0,0,0
162.55,181.00,-16.00,224.70,-21.85,0,0,0,0,0,0
163.05,169.00,-24.00,213.56,-22.28,0,0,0,0,0,0
163.55,162.00,-14.00,203.25,-20.62,0,0,0,0,0,0
164.05,153.00,-18.00,193.20,-20.10,0,0,0,0,0,0
164.55,139.00,-28.00,182.36,-21.68,0,0,0,0,0,0
165.05,126.00,-26.00,171.09,-22.54,0,0,0,0,0,0
165.55,114.00,-24.00,159.67,-22.84,0,0,0,0,0,0
166.05,106.00,-16.00,148.94,-21.47,0,0,0,0,0,0
166.55,95.00,-22.00,138.15,-21.57,0,0,0,0,0,0
167.05,82.00,-26.00,126.92,-22.46,0,0,0,0,0,0
167.55,67.00,-30.00,114.94,-23.97,0,0,0,0,0,0
168.05,49.00,-36.00,101.75,-26.37,0,0,0,0,0,0
168.55,41.00,-16.00,89.60,-24.30,0,0,0,0,0,0
169.05,32.00,-18.00,78.08,-23.04,0,0,0,0,0,0
169.55,35.00,6.00,69.46,-17.23,0,0,0,0,0,0
170.05,39.00,8.00,63.37,-12.19,0,0,0,0,0,0
170.55,38.00,-2.00,58.30,-10.15,0,0,0,0,0,0
171.05,37.00,-2.00,54.04,-8.52,0,0,0,0,0,0
171.55,36.00,-2.00,50.43,-7.21,0,0,0,0,0,0
172.05,35.00,-2.00,47.34,-6.17,0,0,0,0,0,0
172.55,37.00,4.00,45.28,-4.14,0,0,0,0,0,0
173.05,36.00,-2.00,43.42,-3.71,0,0,0,0,0,0
173.55,34.00,-4.00,41.54,-3.77,0,0,0,0,0,0
174.05,33.00,-2.00,39.83,-3.41,0,0,0,0,0,0
174.55,39.00,12.00,39.66,-0.33,0,0,0,0,0,0